Boosted Post,Campaign Id,Campaign Name,Content Theme,Platform,Post Date,Post Time,Post Type,Target Audience,Clicks,Conversion Value Usd,Conversions,Cpc Usd,Ctr,Emoji Count,Engagement Rate,Engagements,Hashtag Count,Impressions,Reach,Sentiment Score,Spend Usd,Video Length Seconds,Word Count
伪,CMP1000,Summer Campaign 2025,Promotion,TikTok,2024/1/8,1899/12/30 13:45:00,Story,"Gen Z (18-24, Urban)",156,503.43,25,0.05,0.0297,2,0.0883,354,9,5261,4007,0.12,8.46,37,18
真,CMP1000,Back to School Campaign 2024,Behind-the-Scenes,X,2024/1/3,1899/12/30 19:30:00,Video,"Parents (30-45, Suburban)",51,249.5,5,0.14,0.0098,0,0.032,115,2,5194,3591,-0.16,7.07,22,12
真,CMP1000,Spring Campaign 2025,User Testimonial,LinkedIn,2024/1/20,1899/12/30 9:30:00,Story,"Gen Z (18-24, Urban)",372,2138.28,56,0.11,0.03,5,0.1152,1170,13,12380,10152,0.3,40.6,113,16
真,CMP1000,Summer Campaign 2024,User Testimonial,Facebook,2024/1/14,1899/12/30 11:00:00,Image,"Gen X (35-50, Mixed)",174,1360.52,19,0.03,0.0553,9,0.1167,321,1,3146,2750,-0.39,5.23,0,45
伪,CMP1000,Spring Campaign 2025,Behind-the-Scenes,Instagram,2024/1/4,1899/12/30 11:00:00,Video,"Millennials (25-34, Suburban)",76,1312.49,10,0.07,0.0244,2,0.0694,146,13,3115,2105,-0.11,5.38,119,40
伪,CMP1000,Back to School Campaign 2025,Behind-the-Scenes,Facebook,2024/1/9,1899/12/30 6:15:00,Image,"Gen X (35-50, Mixed)",211,3670.79,41,0.02,0.0426,7,0.1014,384,12,4951,3787,-0.1,4.57,0,34
真,CMP1000,Fall Campaign 2024,Promotion,TikTok,2024/1/7,1899/12/30 12:45:00,Carousel,"Parents (30-45, Suburban)",272,415.09,35,0.14,0.0297,7,0.0888,627,12,9143,7063,-0.35,37.41,0,48
真,CMP1000,Summer Campaign 2024,Product Launch,X,2024/1/13,1899/12/30 23:00:00,Image,"Millennials (25-34, Suburban)",6,0,0,0.01,0.0143,2,0.0299,10,13,420,334,0.68,0.03,0,36
真,CMP1000,Summer Campaign 2025,Lifestyle,Instagram,2024/1/17,1899/12/30 22:15:00,Story,"Millennials (25-34, Suburban)",237,419.13,13,0.1,0.0288,5,0.0989,631,6,8224,6378,0.28,23.07,102,26
伪,CMP1000,Spring Campaign 2025,Product Launch,Facebook,2024/1/20,1899/12/30 12:00:00,Carousel,"Parents (30-45, Suburban)",140,1315.56,10,0.01,0.0405,2,0.0938,258,2,3457,2750,-0.58,2.02,0,36
伪,CMP1000,Back to School Campaign 2024,Product Launch,LinkedIn,2024/1/28,1899/12/30 22:00:00,Image,"Professionals (25-54, B2B)",133,2329.08,18,0.04,0.0255,10,0.0767,249,8,5219,3245,0.72,4.69,0,42
真,CMP1000,Back to School Campaign 2025,Product Launch,TikTok,2024/1/24,1899/12/30 16:30:00,Reel,"Gen Z (18-24, Urban)",39,293,2,0.51,0.0072,8,0.0302,120,9,5437,3973,0.62,19.89,18,38
伪,CMP1000,Back to School Campaign 2025,Lifestyle,X,2024/1/7,1899/12/30 18:45:00,Video,"Gen X (35-50, Mixed)",47,349.47,3,0.13,0.0089,6,0.0233,98,3,5297,4209,0.7,6.32,30,30
真,CMP1000,Holiday Campaign 2024,User Testimonial,Instagram,2024/1/23,1899/12/30 19:45:00,Story,"Professionals (25-54, B2B)",174,2881.2,28,0.09,0.0182,6,0.0515,298,13,9553,5786,0.1,16.12,82,33
真,CMP1000,Holiday Campaign 2024,Promotion,LinkedIn,2024/1/25,1899/12/30 19:45:00,Carousel,"Professionals (25-54, B2B)",54,178.81,8,0.92,0.0082,9,0.0265,109,9,6580,4114,1,49.83,0,34
伪,CMP1000,Summer Campaign 2024,Promotion,TikTok,2024/1/6,1899/12/30 21:00:00,Story,"Parents (30-45, Suburban)",35,364.22,6,0.15,0.0294,10,0.0622,54,6,1190,868,-0.75,5.42,25,47
真,CMP1000,Back to School Campaign 2025,Lifestyle,Instagram,2024/1/9,1899/12/30 15:30:00,Carousel,"Gen X (35-50, Mixed)",196,744.54,34,0.25,0.0221,6,0.0759,546,14,8852,7195,0.14,49.62,0,23
真,CMP1000,Summer Campaign 2025,User Testimonial,Instagram,2024/1/21,1899/12/30 16:45:00,Image,"Millennials (25-34, Suburban)",91,1015.84,9,0.38,0.017,8,0.0396,185,14,5367,4676,-0.26,34.66,0,33
真,CMP1000,Back to School Campaign 2024,Behind-the-Scenes,Instagram,2024/1/9,1899/12/30 23:00:00,Story,"Millennials (25-34, Suburban)",195,3917.52,34,0.03,0.0381,4,0.0871,361,8,5116,4147,0.5,6.65,90,42
真,CMP1000,Holiday Campaign 2025,Promotion,X,2024/1/15,1899/12/30 21:15:00,Carousel,"Parents (30-45, Suburban)",552,2235.83,63,0.13,0.0455,7,0.1066,1079,3,12125,10125,-0.05,69.03,0,22
真,CMP1000,Summer Campaign 2025,Lifestyle,LinkedIn,2024/1/16,1899/12/30 22:30:00,Image,"Professionals (25-54, B2B)",222,1042.41,28,0.02,0.0226,7,0.0798,488,8,9804,6118,-0.29,4.32,0,40
伪,CMP1000,Spring Campaign 2025,User Testimonial,LinkedIn,2024/1/20,1899/12/30 20:15:00,Image,"Parents (30-45, Suburban)",13,0,0,0.04,0.0065,1,0.0223,39,2,1991,1746,0.45,0.49,0,43
伪,CMP1000,Spring Campaign 2025,Lifestyle,Facebook,2024/1/6,1899/12/30 12:45:00,Story,"Gen X (35-50, Mixed)",322,2787.59,58,0.02,0.0368,5,0.1056,576,8,8742,5453,1,5.16,10,30
真,CMP1000,Spring Campaign 2024,User Testimonial,Facebook,2024/1/1,1899/12/30 10:15:00,Carousel,"Gen X (35-50, Mixed)",123,1988.83,17,0.08,0.0263,0,0.0524,195,5,4680,3719,0.17,10.17,0,44
真,CMP1000,Spring Campaign 2025,Promotion,X,2024/1/6,1899/12/30 19:45:00,Reel,"Millennials (25-34, Suburban)",211,4123.94,38,0.48,0.0203,5,0.0793,685,0,10401,8638,-0.02,100.4,40,5
真,CMP1000,Back to School Campaign 2024,Behind-the-Scenes,X,2024/1/22,1899/12/30 8:30:00,Video,"Gen Z (18-24, Urban)",357,4258.53,43,0.29,0.0328,1,0.0694,564,15,10879,8126,0.89,103.68,65,47
真,CMP1000,Spring Campaign 2025,User Testimonial,Facebook,2024/1/10,1899/12/30 11:45:00,Carousel,"Millennials (25-34, Suburban)",202,1556.02,13,0.16,0.0264,0,0.0746,368,10,7644,4933,0.42,31.65,0,19
真,CMP1000,Summer Campaign 2024,Lifestyle,TikTok,2024/1/11,1899/12/30 8:45:00,Carousel,"Parents (30-45, Suburban)",307,4348.67,50,0.02,0.0473,10,0.1039,476,13,6496,4581,-1,5.59,0,43
真,CMP1000,Back to School Campaign 2024,Product Launch,LinkedIn,2024/1/23,1899/12/30 8:15:00,Carousel,"Parents (30-45, Suburban)",93,1352.77,10,0.16,0.0169,8,0.0381,162,0,5508,4257,0.49,15.27,0,24
真,CMP1000,Fall Campaign 2025,Product Launch,TikTok,2024/1/15,1899/12/30 21:30:00,Carousel,"Professionals (25-54, B2B)",105,429.79,5,0.18,0.0128,6,0.0315,210,8,8173,6670,0.49,19.12,0,6
伪,CMP1000,Fall Campaign 2025,Behind-the-Scenes,Facebook,2024/1/10,1899/12/30 19:30:00,Story,"Parents (30-45, Suburban)",68,198.82,10,0.02,0.032,5,0.091,121,0,2122,1329,0.26,1.37,11,15
真,CMP1000,Fall Campaign 2025,Lifestyle,LinkedIn,2024/1/22,1899/12/30 15:45:00,Carousel,"Millennials (25-34, Suburban)",41,119.94,3,0.49,0.0138,4,0.0334,76,6,2977,2275,0.06,20.07,0,9
真,CMP1000,Summer Campaign 2024,User Testimonial,TikTok,2024/1/19,1899/12/30 18:30:00,Story,"Gen X (35-50, Mixed)",71,786.16,10,0.17,0.0194,7,0.0638,157,13,3658,2462,0.15,12.3,118,23
真,CMP1000,Summer Campaign 2024,Behind-the-Scenes,X,2024/1/20,1899/12/30 19:30:00,Carousel,"Millennials (25-34, Suburban)",139,2162.25,21,0.4,0.02,10,0.071,407,7,6952,5733,-0.14,56.06,0,49
伪,CMP1000,Fall Campaign 2024,User Testimonial,Instagram,2024/1/10,1899/12/30 9:30:00,Reel,"Professionals (25-54, B2B)",285,930.63,34,0.01,0.0341,8,0.0803,602,11,8347,7495,-0.44,2.5,42,49
伪,CMP1000,Back to School Campaign 2025,Promotion,Instagram,2024/1/9,1899/12/30 19:30:00,Carousel,"Gen Z (18-24, Urban)",195,896.4,31,0.05,0.0587,2,0.1146,332,9,3323,2897,0.23,9.85,0,11
伪,CMP1000,Summer Campaign 2024,Product Launch,LinkedIn,2024/1/27,1899/12/30 7:30:00,Carousel,"Gen Z (18-24, Urban)",232,1102.66,15,0.03,0.0281,10,0.1113,687,10,8250,6175,1,6.02,0,12
真,CMP1000,Back to School Campaign 2025,Lifestyle,X,2024/1/11,1899/12/30 15:30:00,Image,"Parents (30-45, Suburban)",53,157.65,7,0.36,0.0087,4,0.0355,162,15,6102,4559,-0.2,18.89,0,39
伪,CMP1000,Spring Campaign 2024,Promotion,LinkedIn,2024/1/8,1899/12/30 21:30:00,Story,"Millennials (25-34, Suburban)",79,1167.5,15,0.02,0.0168,2,0.0754,216,4,4713,2865,0.06,1.57,78,20
